ASSAY_PLATE	SOURCE_PLATE	WELL	COMPOUND	FRACTION
Plate_1	Library_plate1	L22	Compound_33	2
Plate_1	Library_plate1	L23	Compound_34	3
Plate_1	Library_plate1	L24	Compound_34	2
Plate_1	Library_plate1	M03	Compound_35	0
Plate_1	Library_plate1	M04	Compound_35	1
Plate_1	Library_plate1	M05	Compound_36	0
Plate_1	Library_plate1	M06	Compound_36	1
Plate_1	Library_plate1	M07	Compound_37	0
Plate_1	Library_plate1	M08	Compound_37	1
Plate_1	Library_plate1	M09	Compound_38	0
Plate_1	Library_plate1	M10	Compound_38	1
Plate_1	Library_plate1	M11	Compound_39	0
Plate_1	Library_plate1	M12	Compound_39	1
Plate_1	Library_plate1	M13	Compound_40	0
Plate_1	Library_plate1	M14	Compound_40	1
Plate_1	Library_plate1	M15	Compound_41	0
Plate_1	Library_plate1	M16	Compound_41	1
Plate_1	Library_plate1	M17	Compound_42	0
Plate_1	Library_plate1	M18	Compound_42	1
Plate_1	Library_plate1	M19	Compound_43	0
Plate_1	Library_plate1	M20	Compound_43	1
Plate_1	Library_plate1	M21	Compound_44	0
Plate_1	Library_plate1	M22	Compound_44	1
Plate_1	Library_plate1	M23	Compound_45	0
Plate_1	Library_plate1	M24	Compound_45	1
Plate_1	Library_plate1	N03	Compound_35	3
Plate_1	Library_plate1	N04	Compound_35	2
Plate_1	Library_plate1	N05	Compound_36	3
Plate_1	Library_plate1	N06	Compound_36	2
Plate_1	Library_plate1	N07	Compound_37	3
Plate_1	Library_plate1	N08	Compound_37	2
Plate_1	Library_plate1	N09	Compound_38	3
Plate_1	Library_plate1	N10	Compound_38	2
Plate_1	Library_plate1	N11	Compound_39	3
Plate_1	Library_plate1	N12	Compound_39	2
Plate_1	Library_plate1	N13	Compound_40	3
Plate_1	Library_plate1	N14	Compound_40	2
Plate_1	Library_plate1	N15	Compound_41	3
Plate_1	Library_plate1	N16	Compound_41	2
Plate_1	Library_plate1	N17	Compound_42	3
Plate_1	Library_plate1	N18	Compound_42	2
Plate_1	Library_plate1	N19	Compound_43	3
Plate_1	Library_plate1	N20	Compound_43	2
Plate_1	Library_plate1	N21	Compound_44	3
Plate_1	Library_plate1	N22	Compound_44	2
Plate_1	Library_plate1	N23	Compound_45	3
Plate_1	Library_plate1	N24	Compound_45	2
Plate_1	Library_plate1	O03	Compound_46	0
Plate_1	Library_plate1	O04	Compound_46	1
Plate_1	Library_plate1	O05	Compound_47	0
Plate_1	Library_plate1	O06	Compound_47	1
Plate_1	Library_plate1	O07	Compound_48	0
Plate_1	Library_plate1	O08	Compound_48	1
Plate_1	Library_plate1	O09	Compound_49	0
Plate_1	Library_plate1	O10	Compound_49	1
Plate_1	Library_plate1	O11	Compound_1	0
Plate_1	Library_plate1	O12	Compound_1	1
Plate_1	Library_plate1	O13	Compound_50	0
Plate_1	Library_plate1	O14	Compound_50	1
Plate_1	Library_plate1	O15	Compound_51	0
Plate_1	Library_plate1	O16	Compound_51	1
Plate_1	Library_plate1	O17	Compound_52	0
Plate_1	Library_plate1	O18	Compound_52	1
Plate_1	Library_plate1	O19	Compound_53	0
Plate_1	Library_plate1	O20	Compound_53	1
Plate_1	Library_plate1	O21	Compound_54	0
Plate_1	Library_plate1	O22	Compound_54	1
Plate_1	Library_plate1	O23	Compound_55	0
Plate_1	Library_plate1	O24	Compound_55	1
